id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
71290,OBS VIAL,2020-12-28,17:34:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,HIPOLITO IRIGOYEN,2500,ITUZAINGO,,-2.751.527,-5.875.677,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,,,,,Asfalto,,Apto,Seca,,,,,,,,,Día,,,Despejado,,,
75820,OBSERVATORIO VIAL,2020-12-27,12:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV CUBA,6200,TURIN,,-2.750.558,-5.878.565,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,S/D,S/D,S/D,Día,NO,Sin Restricción,Despejado,,,Sin Semáforo
72215,OBS. VIAL,2020-12-27,19:22:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Rural,Ruta Provincial,RUTA 5KM,9.300,,,-2.747.903,-5.881.874,2,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,,,,,Apto,Seca,,,,,,,,,Día,SI,,Despejado,Buena,,
79464,OBSERVATORIO VIAL,2020-12-26,7:14:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV COLON,3000,IV CENTENARIO,,-2.748.913,-5.883.815,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,No,No,Día,NO,,Despejado,Buena,,Funciona
84248,OBSERVATORIO VIAL,2020-12-25,19:25:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV GOBERNADOR RUIZ,2400,VELEZSARSFIELD,,-2.746.673,-5.881.942,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Lateral,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,,,,,Si,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
84767,OBSERVATORIO VIAL,2020-12-21,13:25:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,ESTADOS UNIDOS,871,,,-2.746.928,-5.881.330,0,1,0,1,0,"Caída desde vehículo, Colisión entre vehículos",Colisión entre vehículos,S/D,,,1,Recta,,RECTA,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,S/D,S/D,S/D,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
76784,OBSERVATORIO VIAL,2020-12-19,8:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,H.YRIGOYEN,2300,PERU,,-2.747.010,-5.882.171,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,No,No,No,Día,NO,Sin Restricción,Nublado,Buena,,Sin Semáforo
74218,OBSERVATORIO VIAL,2020-12-19,8:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,MEDRANO,1700,LAVALLE,,-2.748.321,-5.879.868,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,S/D,S/D,S/D,Día,NO,Sin Restricción,Nublado,Buena,,Sin Semáforo
79693,OBSERVATORIO VIAL,2020-12-18,9:31:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,3581,GUEMES,,-2.747.930,-5.880.754,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Cordón Divisorio,,,,Si,,,Día,SI,Sin Restricción,Despejado,Buena,,Funciona
79548,OBSERVATORIO VIAL,2020-12-18,9:31:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,3600,GUEMES,,-2.747.932,-5.880.753,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,No,No,Día,SI,Sin Restricción,Despejado,Buena,,Funciona
