id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
266387,OBSERVATORIO VIAL,14/4/2025,07:50:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Avenida,AV MAIPU,3200,LORETO,,-27.50589,-58.81113,0,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Recta,,,,Asfalto,,Apto,,,,,Asfalto,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
253234,OBSERVATORIO VIAL,23/1/2025,11:12:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Calle,CANGALLO,S/N,YUGOSLAVIA,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Tierra,,Apto,,,S/D,,,,,,,Día,,,S/D,,,
273607,OBC  VIAL,1/6/2025,12:10:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Avenida,AV.3 DE ABRIL,2900,AV.CHACABUCO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,,,,,Si,Si,,Día,,,,,,Funciona
254041,OBSERVATORIO VIAL,3/2/2025,10:30:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Calle,SAN MARTIN,500,,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Mitad de la calle / avenida,,,,Asfalto,,Apto,,,Ninguna,,,,No,No,No,,,,,,,Sin Semáforo
273629,OBC .VIAL,1/6/2025,07:00:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Calle,LAS HERAS,3200,JUAN JOSE  PASO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,,,,,,,,,Sin Semáforo
273187,OBSERVATIO VIAL,16/5/2025,08:00:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Ruta Nacional,12,1029,AV LIBERTAD,,,,0,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,No,,Lateral,2,,Recta,,,,,,,Seca,,Ninguna,,Tierra,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
276290,OBSERVATORIO VIAL,27/6/2025,06:30:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Avenida,AV MAIPU,1700,,,-27.51518,-58.80569,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Otro,,Asfalto,,Si,Si,No,Noche,NO,,Despejado,,,Funciona
261415,OBSERVATORIO VIAL,6/3/2025,09:00:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Avenida,P. FERRE,2700,CHILE,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,,,Cantero central,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
273270,OBSERVATORIO VIAL,29/5/2025,13:15:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Calle,LIBANO,400,NECOCHEA,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,,Asfalto,,Apto,Seca,,,,Otro,,Si,Si,No,Día,,,Despejado,,,Funciona
254279,OBSERVATORIO VIAL,12/2/2025,11:40:00,CORRIENTES,18,CAPITAL,021,CORRIENTES,Urbana,Calle,CHACABUCO,3022,MORENO,BELGRANO,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,S/D,,,,S/D,,,S/D FisicoAmbiental,,S/D,,,,S/D,S/D,S/D,,,,S/D,,,
