id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,modelo,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
49403,2019-04-01 14:40:00,CORRIENTES,21,1,1,Motocicleta,,SMASH,2018,Privado,,,,,,,
49408,2019-04-02 10:15:00,CORRIENTES,21,0,2,Motocicleta,,FZR,2018,Privado,,,,,,,
49408,2019-04-02 10:15:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,,2013,,,,,,,,
49409,2019-04-02 10:15:00,CORRIENTES,21,0,2,Motocicleta,,FZR,2018,Privado,,,,,,,
49409,2019-04-02 10:15:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,,2013,,,,,,,,
49416,2019-04-03 9:20:00,CORRIENTES,21,0,1,Motocicleta,,110 CC,2018,Privado,,,,,,,
49416,2019-04-03 9:20:00,CORRIENTES,21,1,1,Motocicleta,,110 C.C.,2018,Privado,,,,,,,
49419,2019-04-05 18:00:00,CORRIENTES,21,0,1,Automóvil,,PALIO,2016,Publico,,,,,,,
49419,2019-04-05 18:00:00,CORRIENTES,21,1,1,Motocicleta,,SMASH,2017,Privado,,,,,,,
49422,2019-04-08 5:40:00,CORRIENTES,21,0,3,Motocicleta,,TORNADO,2018,Privado,,,,,,,
49443,2019-04-04 6:20:00,CORRIENTES,21,0,1,Motocicleta,,SMASH,2018,Privado,,,,,,,
49449,2019-04-13 15:10:00,CORRIENTES,21,0,1,Automóvil,,CLASSIC 4P LT SPIRIT PACK 1.4N,2016,Privado,,,,,,,
49449,2019-04-13 15:10:00,CORRIENTES,21,1,1,Motocicleta,,FZ 16,2012,Privado,,,,,,,
49477,2019-04-24 15:30:00,CORRIENTES,21,0,1,Automóvil,,GOL TREND COMFORTLINE 1.6 MSI,2011,Privado,,,,,,,
49477,2019-04-24 15:30:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,PARTNER,2016,Privado,,,,,,,
49481,2019-04-25 19:35:00,CORRIENTES,21,0,1,Transporte de carga,,R164 GA4X2NA 480,2012,Privado,,,,,,,
49481,2019-04-25 19:35:00,CORRIENTES,21,1,1,Motocicleta,,TRX 90,2011,Privado,,,,,,,
49484,2019-04-27 8:40:00,CORRIENTES,21,0,1,Automóvil,,PRISMA 1.4 N LT,2015,Privado,,,,,,,
49484,2019-04-27 8:40:00,CORRIENTES,21,1,1,Automóvil,,207 COMPACT ACTIVE 1.4 N 5P,2014,Privado,,,,,,,
49494,2019-05-01 11:45:00,CORRIENTES,21,0,2,Motocicleta,,CG 150 TITAN,2018,Privado,,,,,,,
49494,2019-05-01 11:45:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,FIORINO,2018,Privado,Pax,,,,,,
49495,2019-05-01 6:00:00,CORRIENTES,21,0,1,Automóvil,,FOX 1.6 I MOTION,2012,Privado,,,,,,,
49495,2019-05-01 6:00:00,CORRIENTES,21,1,1,Motocicleta,,ZB110,2014,Privado,,,,,,,
49498,2019-05-04 6:00:00,CORRIENTES,21,0,1,Motocicleta,,CBX 1100,2018,Privado,,,,,,,
49508,2019-05-10 1:15:00,CORRIENTES,21,0,1,Automóvil,,FIESTA,2005,Privado,,,,,,,
49508,2019-05-10 1:15:00,CORRIENTES,21,1,1,Motocicleta,,WAVE 110,2011,Privado,,,,,,,
49523,2019-05-14 8:00:00,CORRIENTES,21,0,1,Automóvil,,ONIX,2016,Privado,,,,,,,
49523,2019-05-14 8:00:00,CORRIENTES,21,1,2,Motocicleta,,G 100 TRIP,2008,Privado,,,,,,,
49525,2019-05-14 23:00:00,CORRIENTES,21,0,1,Automóvil,,FOCUS,2016,Privado,Pax,,,,,,
49525,2019-05-14 23:00:00,CORRIENTES,21,1,1,Motocicleta,,YBR 125,2010,,,,,,,,
49544,2019-05-29 9:30:00,CORRIENTES,21,0,1,Motocicleta,,TORNADO,2018,Oficial,,,,,,,
49544,2019-05-29 9:30:00,CORRIENTES,21,1,1,Automóvil,,CLASSIC 4P LT SPIRIT PACK 1.4N,2015,Privado,,,,,,,
49554,2019-06-03 12:10:00,CORRIENTES,21,0,2,Automóvil,,CIVIC,2012,Privado,,,,,,,
49554,2019-06-03 12:10:00,CORRIENTES,21,1,2,Camioneta/Utilitario,,HILUX,2017,Privado,,,,,,,
49560,2019-06-04 15:45:00,CORRIENTES,21,0,2,Automóvil,,PALIO,2016,Privado,,,,,,,
49560,2019-06-04 15:45:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,F 100 DIESEL 4X4,1990,Privado,,,,,,,
49574,2019-06-11 22:10:00,CORRIENTES,21,0,1,Motocicleta,,CG 150 TITAN,2018,Privado,,,,,,,
49574,2019-06-11 22:10:00,CORRIENTES,21,1,1,Motocicleta,,SKUA 150,2012,Privado,,,,,,,
49579,2019-06-12 14:55:00,CORRIENTES,21,0,1,Motocicleta,,XTZ125E,2018,Privado,,,,,,,
49579,2019-06-12 14:55:00,CORRIENTES,21,1,1,Automóvil,,DUSTER,2017,Privado,,,,,,,
49581,2019-06-13 9:15:00,CORRIENTES,21,0,1,Motocicleta,,ZB 110 R,2018,Privado,,,,,,,
49581,2019-06-13 9:15:00,CORRIENTES,21,1,1,Automóvil,,GOL,2014,Privado,,,,,,,
49583,2019-06-13 17:55:00,CORRIENTES,21,0,1,Automóvil,,CELTA,2014,Privado,,,,,,,
49583,2019-06-13 17:55:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,PARTNER 1.9D,2012,Privado,,,,,,,
49602,2019-06-22 11:30:00,CORRIENTES,21,0,1,Automóvil,,CORSA,2018,Publico,,,,,,,
49602,2019-06-22 11:30:00,CORRIENTES,21,1,1,Automóvil,,DUSTER PH2 EXPRESSION 1.6,2018,Privado,,,,,,,
52574,2019-07-07 21:30:00,CORRIENTES,21,0,1,Automóvil,,PARTNER,2000,Privado,,,,,,,
53769,2019-07-19 18:15:00,CORRIENTES,21,0,1,Automóvil,,UNO,2008,Privado,,,,,,,
53769,2019-07-19 18:15:00,CORRIENTES,21,1,2,Automóvil,,FIESTA,2018,,,,,,,,
53769,2019-07-19 18:15:00,CORRIENTES,21,2,1,Automóvil,,208 GTI,2018,Privado,,,,,,,
53679,2019-07-14 6:00:00,CORRIENTES,21,0,1,Automóvil,,207 CC 156 CV,2006,Privado,Pax,,,,,,
53679,2019-07-14 6:00:00,CORRIENTES,21,1,1,Automóvil,,MEGANE 1.9D,2010,Privado,,,,,,,
53865,2019-08-01 22:30:00,CORRIENTES,21,0,1,Automóvil,,SIENA,2018,Privado,,,,,,,
53865,2019-08-01 22:30:00,CORRIENTES,21,1,2,Motocicleta,,YBR,2012,Privado,,,,,,,
53931,2019-08-06 11:38:00,CORRIENTES,21,0,1,Automóvil,,70,2008,Privado,,,,,,,
53931,2019-08-06 11:38:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,ETIOS XLS 1.5 4A/T,2014,Privado,,,,,,,
54113,2019-08-07 8:05:00,CORRIENTES,21,0,1,Automóvil,,ECOSPORT,2014,Privado,,,,,,,
54113,2019-08-07 8:05:00,CORRIENTES,21,1,1,Motocicleta,,ECO,2005,Privado,,,,,,,
54490,2019-08-10 11:30:00,CORRIENTES,21,0,1,Automóvil,,GOL TREND 1.6 SPORTLINE,2014,Privado,,,,,,,
54490,2019-08-10 11:30:00,CORRIENTES,21,1,1,Motocicleta,,125 CC,2008,Privado,,,,,,,
54496,2019-08-10 20:00:00,CORRIENTES,21,0,1,Motocicleta,,110CC,2017,Privado,,,,,,,
54496,2019-08-10 20:00:00,CORRIENTES,21,1,1,Motocicleta,,110CC,2010,Privado,,,,,,,
54497,2019-08-12 13:10:00,CORRIENTES,21,0,1,Automóvil,,CLASSIC 4P LT SPIRIT PACK 1.4N,2008,Privado,,,,,,,
54497,2019-08-12 13:10:00,CORRIENTES,21,1,1,Motocicleta,,YBR,2018,Privado,,,,,,,
54979,2019-08-20 18:10:00,CORRIENTES,21,0,1,Automóvil,,SEDAN,2015,Privado,,,,,,,
54979,2019-08-20 18:10:00,CORRIENTES,21,1,1,Automóvil,,ONIX 1.4 N LTZ,2016,Privado,,,,,,,
55782,2019-08-27 10:40:00,CORRIENTES,21,0,1,Motocicleta,,CG 150 TITAN,2002,Privado,,,,,,,
55782,2019-08-27 10:40:00,CORRIENTES,21,1,1,Automóvil,,1315,2013,Publico,,,,,,,
56125,2019-08-21 15:15:00,CORRIENTES,21,0,1,Motocicleta,,ROUSER RS 200,2018,Privado,,,,,,,
56125,2019-08-21 15:15:00,CORRIENTES,21,1,1,Motocicleta,,BLITZ,2018,Privado,,,,,,,
56615,2019-09-01 7:00:00,CORRIENTES,21,0,1,Automóvil,,208S,2019,Privado,,,,,,,
56615,2019-09-01 7:00:00,CORRIENTES,21,1,,Automóvil,,KA,2010,,,,,,,,
56626,2019-08-31 1:20:00,CORRIENTES,21,0,1,Automóvil,,SPIN,2015,Privado,,,,,,,
56626,2019-08-31 1:20:00,CORRIENTES,21,1,1,Motocicleta,,BIZ 125,2019,Privado,,,,,,,
56773,2019-09-03 10:30:00,CORRIENTES,21,0,1,Automóvil,,UNO,2012,Privado,,,,,,,
56773,2019-09-03 10:30:00,CORRIENTES,21,1,1,Motocicleta,,BLITZ,2018,Privado,,,,,,,
56777,2019-09-03 12:08:00,CORRIENTES,21,0,1,Automóvil,,CORSA CLASSIC WAGON GLS 1.4 N,2013,Privado,,,,,,,
56777,2019-09-03 12:08:00,CORRIENTES,21,1,1,Motocicleta,,110 C.C.,2019,Privado,,,,,,,
57094,2019-09-09 8:50:00,CORRIENTES,21,0,1,Automóvil,,ETIOS XLS 1.5 4A/T,2018,Privado,,,,,,,
57094,2019-09-09 8:50:00,CORRIENTES,21,1,1,Motocicleta,,MIRAGE 110,2007,Privado,,,,,,,
58305,2019-09-11 22:40:00,CORRIENTES,21,0,1,Automóvil,,AMAROK 2.0L TDI 180 CV 4X4 561,2019,Privado,,,,,,,
58305,2019-09-11 22:40:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,KA,2012,Privado,,,,,,,
58475,2019-09-13 8:05:00,CORRIENTES,21,0,1,Transporte de carga,,BMO 390 VERSION 1621 L/59 C.A.,2005,Privado,,,,,,,
58475,2019-09-13 8:05:00,CORRIENTES,21,1,1,Automóvil,,SHADOW,2007,,,,,,,,
61386,2019-10-08 8:45:00,CORRIENTES,21,0,1,Automóvil,,GOL 1.6 012,2010,Privado,,,,,,,
61386,2019-10-08 8:45:00,CORRIENTES,21,1,1,Automóvil,,AMAROK 2.0L TDI 180 CV 4X4 561,2018,Privado,,,,,,,
62286,2019-10-04 17:45:00,CORRIENTES,21,0,1,Automóvil,,FIESTA 1.6L TITANIUM,2018,Privado,,,,,,,
62286,2019-10-04 17:45:00,CORRIENTES,21,1,1,Automóvil,,PALIO,2013,Privado,,,,,,,
62850,2019-10-10 5:50:00,CORRIENTES,21,0,1,Automóvil,,GLA 250 4MATIC,2015,,,,,,,,
62869,2019-10-15 8:10:00,CORRIENTES,21,0,1,Motocicleta,,WAVE 110,2019,Privado,,,,,,,
62884,2019-10-16 15:15:00,CORRIENTES,21,0,1,Transporte de carga,,C60,1973,Privado,Carga,,,,,,
62884,2019-10-16 15:15:00,CORRIENTES,21,1,1,Motocicleta,,110 C.C.,2019,Privado,,,,,,,
62906,2019-10-25 16:03:00,CORRIENTES,21,0,2,Motocicleta,,STYLER,2018,Privado,,,,,,,
62906,2019-10-25 16:03:00,CORRIENTES,21,1,1,Automóvil,,RS7 SPORTBACK 4.0 TFSI QUATTRO,2013,Privado,,,,,,,
64843,2019-11-04 10:45:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,HILUX 4X2 CABINA SIMPLE DX 2.7 VVT-I,2011,Privado,,,,,,,
64843,2019-11-04 10:45:00,CORRIENTES,21,1,1,Bicicleta,,10,2018,Privado,,,,,,,
64845,2019-11-10 11:10:00,CORRIENTES,21,0,1,Motocicleta,,110CC,2006,Privado,,,,,,,
64872,2019-11-12 8:00:00,CORRIENTES,21,0,1,Automóvil,,206 PREMIUM,2007,Privado,,,,,,,
