id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
132615,2022-01-02 22:05:00,CORRIENTES,21,0,1,Automóvil,,,Privado,,,,,,,
132615,2022-01-02 22:05:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
132621,2022-01-09 7:27:00,CORRIENTES,21,0,2,Automóvil,,,Privado,,,,,,,
132621,2022-01-09 7:27:00,CORRIENTES,21,1,2,Motocicleta,,,Privado,,,,,,,
133416,2022-01-15 10:55:00,CORRIENTES,21,0,1,Automóvil,,,Privado,,,,,,,
133416,2022-01-15 10:55:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
134047,2022-01-03 12:25:00,CORRIENTES,21,0,1,Automóvil,,,Privado,,,,,,,
134047,2022-01-03 12:25:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
134050,2022-01-04 14:30:00,CORRIENTES,21,0,2,Automóvil,,,Privado,,,,,,,
134050,2022-01-04 14:30:00,CORRIENTES,21,1,1,Automóvil,,,Privado,,,,,,,
134825,2022-01-24 12:15:00,CORRIENTES,21,0,,Automóvil,,,,,,,,,,
134825,2022-01-24 12:15:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
134854,2022-01-26 12:00:00,CORRIENTES,21,0,1,Automóvil,,2013,,,,,,,,
134854,2022-01-26 12:00:00,CORRIENTES,21,1,1,Automóvil,,2016,,,,,,,,
134854,2022-01-26 12:00:00,CORRIENTES,21,2,1,Automóvil,,2017,,,,,,,,
134856,2022-01-26 13:30:00,CORRIENTES,21,0,1,Automóvil,,2017,Privado,,,,,,,
134856,2022-01-26 13:30:00,CORRIENTES,21,1,1,Motocicleta,,2018,,,,,,,,
134857,2022-01-30 11:00:00,CORRIENTES,21,0,1,Motocicleta,,1995,Privado,,,,,,,
134859,2022-01-27 12:30:00,CORRIENTES,21,0,1,Automóvil,,2010,Privado,,,,,,,
134859,2022-01-27 12:30:00,CORRIENTES,21,1,1,Automóvil,,2016,Privado,,,,,,,
134859,2022-01-27 12:30:00,CORRIENTES,21,2,1,Automóvil,,2010,Privado,,,,,,,
135581,2022-02-03 12:40:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
135581,2022-02-03 12:40:00,CORRIENTES,21,1,1,Motocicleta,,1981,Privado,,,,,,,
136376,2022-02-08 9:14:00,CORRIENTES,21,0,1,Automóvil,,,Privado,,,,,,,
136376,2022-02-08 9:14:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
136414,2022-02-10 10:40:00,CORRIENTES,21,0,2,Motocicleta,,2017,Privado,,,,,,,
136414,2022-02-10 10:40:00,CORRIENTES,21,1,,Motocicleta,,2008,Privado,,,,,,,
139213,2022-02-20 15:50:00,CORRIENTES,21,0,1,Automóvil,,2019,Privado,,,,,,,
139213,2022-02-20 15:50:00,CORRIENTES,21,1,1,Automóvil,,2018,Privado,,,,,,,
139278,2022-03-09 14:34:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,,Privado,,,,,,,
139278,2022-03-09 14:34:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
139936,2022-03-13 16:50:00,CORRIENTES,21,0,1,Motocicleta,,2022,Privado,,,,,,,
139999,2022-03-21 14:42:00,CORRIENTES,21,0,1,Automóvil,,2004,,,,,,,,
