id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
216589,2024-01-09 10:56:00,CORRIENTES,21,0,,Automóvil,,2021,,,,,,,,
216589,2024-01-09 10:56:00,CORRIENTES,21,1,,Bicicleta,,,,,,Pedal,,,,
217475,2024-01-04 13:00:00,CORRIENTES,21,0,,Motocicleta,,2018,,,,,,,,
217475,2024-01-04 13:00:00,CORRIENTES,21,1,,Automóvil,,2022,,,,,,,,
217499,2024-01-17 2:00:00,CORRIENTES,21,0,,Automóvil,,2014,,,,,,,,
217499,2024-01-17 2:00:00,CORRIENTES,21,1,,Automóvil,,,,,,,,,,
222694,2024-02-17 15:45:00,CORRIENTES,21,0,,Motocicleta,,2021,,,,,,,,
222694,2024-02-17 15:45:00,CORRIENTES,21,1,,Automóvil,,2016,,,,,,,,
223345,2024-03-04 20:50:00,CORRIENTES,21,0,,Automóvil,,2020,,,,,,,,
223345,2024-03-04 20:50:00,CORRIENTES,21,1,,Transporte de carga,,2013,,,,,Otro,S/D,,
224941,2024-03-28 20:00:00,CORRIENTES,21,0,,Automóvil,,2020,,,,,,,,
224941,2024-03-28 20:00:00,CORRIENTES,21,1,,Motocicleta,,2009,,,,,,,,
224975,2024-03-28 15:10:00,CORRIENTES,21,0,,Automóvil,,2014,,,,,,,,
224975,2024-03-28 15:10:00,CORRIENTES,21,1,,Camioneta/Utilitario,,2017,,,,,,,,
224975,2024-03-28 15:10:00,CORRIENTES,21,2,,Automóvil,,2015,,,,,,,,
224978,2024-04-06 19:38:00,CORRIENTES,21,0,,Camioneta/Utilitario,,1979,,,,,,,,
224978,2024-04-06 19:38:00,CORRIENTES,21,1,,Automóvil,,2012,,,,,,,,
230894,2024-05-30 11:00:00,CORRIENTES,21,0,,Motocicleta,,2022,,,,,,,,
230894,2024-05-30 11:00:00,CORRIENTES,21,1,,Automóvil,,,,,,,,,,
232274,2024-06-29 12:25:00,CORRIENTES,21,0,,Camioneta/Utilitario,,2005,,,,,,,,
232274,2024-06-29 12:25:00,CORRIENTES,21,1,,Automóvil,,2014,,,,,,,,
233386,2024-06-17 16:45:00,CORRIENTES,21,0,,Automóvil,,2024,,,,,,,,
233386,2024-06-17 16:45:00,CORRIENTES,21,1,,Motocicleta,,2015,,,,,,,,
234588,2024-07-27 10:00:00,CORRIENTES,21,0,,Automóvil,,2010,,,,,,,,
234588,2024-07-27 10:00:00,CORRIENTES,21,1,,Motocicleta,,2018,,,,,,,,
217516,2024-01-20 7:05:00,CORRIENTES,21,0,,Automóvil,,,,,,,,,,
217516,2024-01-20 7:05:00,CORRIENTES,21,1,,Motocicleta,,,,,,,,,,
217517,2024-01-21 20:08:00,CORRIENTES,21,0,,Automóvil,,2017,,,,,,,,
217517,2024-01-21 20:08:00,CORRIENTES,21,1,,Automóvil,,2023,,,,,,,,
218238,2024-02-03 16:51:00,CORRIENTES,21,0,,Automóvil,,2018,,,,,,,,
218238,2024-02-03 16:51:00,CORRIENTES,21,1,,Motocicleta,,,,,,,,,,
220441,2024-03-13 10:40:00,CORRIENTES,21,0,,Motocicleta,,2017,,,,,,,,
220441,2024-03-13 10:40:00,CORRIENTES,21,1,,Automóvil,,2013,,,,,,,,
220449,2024-03-09 13:45:00,CORRIENTES,21,0,,Automóvil,,2010,,,,,,,,
220449,2024-03-09 13:45:00,CORRIENTES,21,1,,Motocicleta,,2019,,,,,,,,
220451,2024-03-09 10:00:00,CORRIENTES,21,0,,Automóvil,,2012,,,,,,,,
220451,2024-03-09 10:00:00,CORRIENTES,21,1,,Automóvil,,2016,,,,,,,,
223341,2024-02-24 18:27:00,CORRIENTES,21,0,,Bicicleta,,,,,,Pedal,,,,
223341,2024-02-24 18:27:00,CORRIENTES,21,1,,Motocicleta,,2011,,,,,,,,
223342,2024-02-24 12:00:00,CORRIENTES,21,0,,Automóvil,,2021,,,,,,,,
224095,2024-03-16 12:15:00,CORRIENTES,21,0,,Transporte de carga,,2017,,,,,Otro,Si,,
224095,2024-03-16 12:15:00,CORRIENTES,21,1,,Motocicleta,,2023,,,,,,,,
228607,2024-05-11 13:05:00,CORRIENTES,21,0,,Automóvil,,2011,,,,,,,,
228607,2024-05-11 13:05:00,CORRIENTES,21,1,,Motocicleta,,2012,,,,,,,,
229164,2024-05-14 13:25:00,CORRIENTES,21,0,,Automóvil,,2016,,,,,,,,
229164,2024-05-14 13:25:00,CORRIENTES,21,1,,Motocicleta,,2023,,,,,,,,
229675,2024-05-19 17:35:00,CORRIENTES,21,0,,Automóvil,,2013,,,,,,,,
229675,2024-05-19 17:35:00,CORRIENTES,21,1,,Automóvil,,2016,,,,,,,,
229676,2024-05-21 13:35:00,CORRIENTES,21,0,,Camioneta/Utilitario,,2017,,,,,,,,
229676,2024-05-21 13:35:00,CORRIENTES,21,1,,Automóvil,,2013,,,,,,,,
232244,2024-06-24 21:40:00,CORRIENTES,21,0,,Automóvil,,2016,,,,,,,,
232244,2024-06-24 21:40:00,CORRIENTES,21,1,,Automóvil,,2018,,,,,,,,
233378,2024-06-15 18:00:00,CORRIENTES,21,0,,Automóvil,,2017,,,,,,,,
233378,2024-06-15 18:00:00,CORRIENTES,21,1,,Automóvil,,2006,,,,,,,,
233471,2024-06-17 7:10:00,CORRIENTES,21,0,,Motocicleta,,2010,,,,,,,,
233471,2024-06-17 7:10:00,CORRIENTES,21,1,,Automóvil,,2015,,,,,,,,
233474,2024-06-22 10:10:00,CORRIENTES,21,0,,Motocicleta,,2010,,,,,,,,
233474,2024-06-22 10:10:00,CORRIENTES,21,1,,Transporte de carga,,2011,,,,,Camión,No,,
233576,2024-06-26 12:05:00,CORRIENTES,21,0,,Motocicleta,,2018,,,,,,,,
233576,2024-06-26 12:05:00,CORRIENTES,21,1,,Automóvil,,2018,,,,,,,,
233742,2024-07-10 8:40:00,CORRIENTES,21,0,,Motocicleta,,2020,,,,,,,,
216579,2024-01-31 3:30:00,CORRIENTES,21,0,,Motocicleta,,2019,,,,,,,,
216579,2024-01-31 3:30:00,CORRIENTES,21,1,,Motocicleta,,2014,,,,,,,,
217477,2024-02-06 17:15:00,CORRIENTES,21,0,,Automóvil,,2019,,,,,,,,
217477,2024-02-06 17:15:00,CORRIENTES,21,1,,Motocicleta,,2023,,,,,,,,
