id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
55290,OBSERVATORIO VIAL,2019-12-31,12:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Ruta Nacional,12,5900,AVENIDA RAUL ALFONSIN,,-2.747.829,-5.878.329,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Otro,,,,No,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
49529,OBSERVATORIO VIL,2019-12-30,19:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV FRRE,1650,AV MAIPU,,-2.747.665,-5.883.088,1,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Rozamiento,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,,,,,Si,No,No,Noche,NO,,Despejado,Buena,,Sin Semáforo
58985,OBSERVATORIO VIAL,2019-12-30,7:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,ESPAÑA,1700,BELGRANO,,-2.747.278,-5.882.972,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,No,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
49556,OBSERVATORIO VIAL,2019-12-30,15:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA 3 DE ABRIL,1400,CATAMARCA,,-2.747.610,-5.883.394,2,1,0,1,1,"Atropello a peatón/es, Colisión entre vehículos",Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,,,Hormigón,,Apto,Seca,,Cordón Divisorio,,,,Si,Si,No,Día,NO,Sin Restricción,Nublado,Buena,,Funciona
49594,OBSERVATORIO VIAL,2019-12-30,19:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA ARMENIA,4700,,,-2.746.772,-5.879.368,2,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,Si,No,No,Noche,SI,,Despejado,Buena,,Sin Semáforo
68871,CORRIENTES,2019-12-27,22:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Ruta Nacional,12,6.500,AV. LIBERTAD,,-2.746.144,-5.876.849,0,1,0,1,0,Despiste,Despiste,Si,,,1,Recta,,,NO,,Hormigón,,Apto,Despejada,,Ninguna,,,,No,,,Noche,NO,Sin Restricción,Nublado,Buena,,Sin Semáforo
49349,OBSERVATORIO VIAL,2019-12-26,9:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,RIVADAVIA,1500,SAN LORENZO,,-2.747.484,-5.883.262,3,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Rozamiento,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,,,,,,,Si,,,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
49533,OBSERVATORIO VIAL,2019-12-24,7:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA TTE IBAÑEZ,2400,REVIDATTI,,-2.748.488,-5.884.241,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Mojada,,,,,,Si,Si,No,Día,NO,Sin Restricción,Lluvia,Lluvia,,Sin Semáforo
49274,OBSERVATORIO VIAL,2019-12-23,9:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,9 DE julio,1100,CORDOBA,,-2.746.643,-5.883.666,3,0,0,3,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,"Alcance, Multiple",3,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,Si,Si,No,Día,NO,Sin Restricción,Despejado,Buena,,Funciona
58494,OBSERVATORIO VIAL,2019-12-20,7:35:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,TRES DE ABRIL,1601,MENDOZA,,-2.747.577,-5.883.650,1,1,0,1,1,Atropello a peatón/es,Atropello a peatón/es,S/D,,,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,Si,Si,No,Día,NO,Sin Restricción,Despejado,Buena,,Funciona
49409,OBSERVATORIO VIAL,2019-12-20,10:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,LA RIOJA,1000,BELGRANO,,-2.747.193,-5.883.853,2,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,,,Día,NO,Sin Restricción,Nublado,Buena,,Sin Semáforo
54490,OBSERVATORIO VIAL,2019-12-19,11:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,GARL PAZ,2600,SANTA ROSA,,-2.748.010,-5.882.018,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,,,,,No,No,No,Día,NO,,Despejado,Buena,,Sin Semáforo
54956,OVSERVAORIO VIAL,2019-12-18,12:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,CATAMARCA,1200,BELGRANO,,-2.747.172,-5.883.352,1,1,0,1,1,Atropello a peatón/es,Atropello a peatón/es,S/D,,,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,Si,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
