id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
148183,OBSERVATORIO VIAL,2022-12-28,10:17:00,CORRIENTES,18,CAPITAL,21,,Urbana,,SAN JUAN,640,,,,,1,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,,,Ninguna,,,,S/D,S/D,S/D,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
142693,OBSERVATORIO VIAL,2022-12-25,22:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PASANDU,2700,CONCORDIA,,,,0,0,1,1,0,Despiste,Despiste,Si,,,1,Recta,,SOBRE AVENIDA,NO,,Asfalto,,Apto,"Despejada, Seca",,Cordón Divisorio,,,,No,No,No,Noche,SI,Sin Restricción,Despejado,Buena,,Sin Semáforo
151168,OBSERVATORIO VIAL,2022-12-24,12:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PAYSANDU,3800,IBERA,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Rozamiento,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,"Despejada, Seca",,Cordón Divisorio,,,,Si,Si,No,Día,NO,Sin Restricción,Despejado,Buena,,Funciona
151207,OBSERVATORIO VIAL,2022-12-24,17:25:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,SANTA CATALINA,6000,ALTA GRACIA,,-2.750.910,-5.882.218,2,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,No,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
164602,OBSERVATORIO VIAL,2022-12-22,18:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,TACUARI,3400,,,,,0,1,0,1,0,Despiste,Despiste,Si,,,1,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,"Despejada, Seca",,Ninguna,,,,Si,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
152105,OBSERVATORIO VIAL,2022-12-21,18:58:00,CORRIENTES,18,CAPITAL,21,,Urbana,Ruta Nacional,12,,CUBA,,,,3,0,0,3,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,3,Recta,,,NO,,Asfalto,,,Seca,,Ninguna,,,,S/D,S/D,S/D,Atardecer,SI,Sin Restricción,Despejado,Buena,,Funciona
175468,OBSERVATORIO VIAL,2022-12-20,11:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,JUJUY,1800,3 DE abril,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,S/D,,,S/D,S/D,Día,,,Despejado,,,S/D
133417,DIREC. DE SEG VIAL,2022-12-20,7:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV. INDEPENDENCIA,,"J,J. CASTELLI",,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,,,,,Si,Si,No,Día,NO,Sin Restricción,Despejado,Buena,,Funciona
151197,OBSERVATORIO VIAL,2022-12-19,9:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Ruta Nacional,12,KM7,,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,,,Asfalto,,Apto,Seca,,Barrera de Hormigón,,,,S/D,S/D,S/D,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
136376,MUNICIPALIDAD DE CORRIENTES,2022-12-19,9:14:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,MEDRANO,2300,LARREA,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Barrera de Hormigón,,,,,,,Día,NO,Sin Restricción,Despejado,Buena,,
