id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
176188,2023-01-18 8:09:00,CORRIENTES,21,0,,Motocicleta,,2020,,,,,,,,
176188,2023-01-18 8:09:00,CORRIENTES,21,1,,Motocicleta,,2020,,,,,,,,
177715,2023-01-27 7:10:00,CORRIENTES,21,0,,Motocicleta,,2021,,,,,,,,
177715,2023-01-27 7:10:00,CORRIENTES,21,1,,Motocicleta,,2017,,,,,,,,
177716,2023-01-27 7:50:00,CORRIENTES,21,0,,Automóvil,,2015,,,,,,,,
177716,2023-01-27 7:50:00,CORRIENTES,21,1,,Automóvil,,2011,,,,,,,,
177721,2023-02-02 8:05:00,CORRIENTES,21,0,,Motocicleta,,,,,,,,,,
177721,2023-02-02 8:05:00,CORRIENTES,21,1,,Automóvil,,,,,,,,,,
177730,2023-02-07 9:15:00,CORRIENTES,21,0,,Transporte de carga,,,,,,,,S/D,,
177730,2023-02-07 9:15:00,CORRIENTES,21,1,,Transporte de carga,,,,,,,,S/D,,
177775,2023-02-10 13:40:00,CORRIENTES,21,0,,Automóvil,,2015,,,,,,,,
177775,2023-02-10 13:40:00,CORRIENTES,21,1,,Motocicleta,,2018,,,,,,,,
177781,2023-02-11 14:30:00,CORRIENTES,21,0,,Motocicleta,,2012,,,,,,,,
177781,2023-02-11 14:30:00,CORRIENTES,21,1,,Automóvil,,,,,,,,,,
180919,2023-03-06 8:00:00,CORRIENTES,21,0,,Transporte de carga,,,,,,,,S/D,,
180919,2023-03-06 8:00:00,CORRIENTES,21,1,,Bicicleta,,,,,,,,,,
180920,2023-03-06 13:28:00,CORRIENTES,21,0,,Automóvil,,,,,,,,,,
