id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
93014,2021-01-01 15:15:00,CORRIENTES,21,0,1,Automóvil,,2004,Publico,,,,,,,
93014,2021-01-01 15:15:00,CORRIENTES,21,1,2,Motocicleta,,2002,Privado,,,,,,,
93028,2021-01-19 7:50:00,CORRIENTES,21,0,1,Transporte de carga,,2010,Oficial,,,,,,,
93028,2021-01-19 7:50:00,CORRIENTES,21,1,1,Motocicleta,,2020,Privado,,,,,,,
93049,2021-01-22 10:30:00,CORRIENTES,21,0,1,Motocicleta,,,Privado,,,,,,,
94689,2021-02-04 7:00:00,CORRIENTES,21,0,1,Motocicleta,,2020,Privado,,,,,,,
94689,2021-02-04 7:00:00,CORRIENTES,21,1,1,Automóvil,,2001,Privado,,,,,,,
95201,2021-02-06 11:55:00,CORRIENTES,21,0,1,Automóvil,,2004,Privado,,,,,,,
95201,2021-02-06 11:55:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2001,Privado,,,,,,,
96769,2021-02-21 11:15:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
96783,2021-02-26 14:05:00,CORRIENTES,21,0,2,Automóvil,,2013,Privado,,,,,,,
96783,2021-02-26 14:05:00,CORRIENTES,21,1,2,Motocicleta,,2017,Privado,,,,,,,
96786,2021-02-27 7:00:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
96786,2021-02-27 7:00:00,CORRIENTES,21,1,1,Motocicleta,,2014,Privado,,,,,,,
97580,2021-03-05 16:30:00,CORRIENTES,21,0,1,Automóvil,,2006,Privado,,,,,,,
97580,2021-03-05 16:30:00,CORRIENTES,21,1,1,Automóvil,,2004,Privado,,,,,,,
98234,2021-02-25 22:30:00,CORRIENTES,21,0,1,Motocicleta,,2012,Privado,,,,,,,
98240,2021-03-08 1:01:00,CORRIENTES,21,0,1,Automóvil,,2001,Privado,,,,,,,
98245,2021-03-08 16:30:00,CORRIENTES,21,0,1,Automóvil,,2006,Privado,,,,,,,
98245,2021-03-08 16:30:00,CORRIENTES,21,1,1,Motocicleta,,2020,Privado,,,,,,,
98257,2021-03-13 7:00:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
98257,2021-03-13 7:00:00,CORRIENTES,21,1,1,Automóvil,,2010,Privado,,,,,,,
98265,2021-03-13 10:35:00,CORRIENTES,21,0,1,Automóvil,,2002,Privado,,,,,,,
98265,2021-03-13 10:35:00,CORRIENTES,21,1,1,Automóvil,,2012,Privado,,,,,,,
98273,2021-03-17 17:14:00,CORRIENTES,21,0,1,Motocicleta,,2019,Privado,,,,,,,
98273,2021-03-17 17:14:00,CORRIENTES,21,1,1,Transporte de carga,,2004,Privado,,,,,,,
106212,2021-04-21 13:30:00,CORRIENTES,21,0,1,Motocicleta,,2008,Privado,,,,,,,
106212,2021-04-21 13:30:00,CORRIENTES,21,1,1,Automóvil,,2006,Privado,,,,,,,
106223,2021-04-28 9:45:00,CORRIENTES,21,0,1,Transporte de carga,,2010,Privado,,,,,,,
106223,2021-04-28 9:45:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2019,Privado,,,,,,,
107682,2021-05-22 12:15:00,CORRIENTES,21,0,1,Automóvil,,2010,Privado,,,,,,,
107682,2021-05-22 12:15:00,CORRIENTES,21,1,1,Motocicleta,,2021,Privado,,,,,,,
107685,2021-05-23 13:00:00,CORRIENTES,21,0,2,Motocicleta,,2020,Privado,,,,,,,
107685,2021-05-23 13:00:00,CORRIENTES,21,1,1,Automóvil,,2006,Privado,,,,,,,
107986,2021-05-29 7:20:00,CORRIENTES,21,0,1,Automóvil,,2016,Privado,,,,,,,
108370,2021-06-02 13:15:00,CORRIENTES,21,0,1,Automóvil,,2005,Privado,,,,,,,
108370,2021-06-02 13:15:00,CORRIENTES,21,1,1,Motocicleta,,2006,Privado,,,,,,,
108422,2021-06-09 3:01:00,CORRIENTES,21,0,1,Automóvil,,2001,Privado,,,,,,,
108440,2021-06-12 13:40:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
108440,2021-06-12 13:40:00,CORRIENTES,21,1,1,Transporte de carga,,2014,Privado,,,,,,,
108889,2021-06-23 11:50:00,CORRIENTES,21,0,1,Automóvil,,2012,,,,,,,,
108889,2021-06-23 11:50:00,CORRIENTES,21,1,1,Automóvil,,2018,Privado,,,,,,,
109612,2021-06-15 7:40:00,CORRIENTES,21,0,1,Automóvil,,2010,Privado,,,,,,,
109612,2021-06-15 7:40:00,CORRIENTES,21,1,1,Motocicleta,,2008,Privado,,,,,,,
109643,2021-06-28 10:39:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
