id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
49056,OBSERVATORIO VIAL,2018-10-29,20:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPENDENCIA,4200,LAS PIEDRAS,,-2.748.105,-5.880.054,1,2,0,3,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,3,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Cordón Divisorio,,,,Si,Si,No,Atardecer,,,Despejado,Buena,,Funciona
49059,OBSERVATORIO VIAL,2018-10-31,19:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,BELASCOAIN,900,VIUDES,,-2.748.406,-5.877.596,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Tierra,,,"Despejada, Seca",,Ninguna,,,,No,No,No,Noche,NO,Sin Restricción,Nublado,Buena,,Sin Semáforo
48998,OBSERVATORIO VIAL,2018-10-08,13:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,BELGRANO,1100,SAN JUAN,,-2.747.203,-5.883.722,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,,,NO,,Asfalto,,Apto,Seca,,Vegetación,,,,No,No,No,Día,NO,,Despejado,Buena,,Sin Semáforo
49069,OBSERVATORIO VIAL,2018-11-05,7:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA FERRE,1700,ESPAÑA,,-2.747.631,-5.883.009,2,1,0,3,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,"Alcance, Angulo",3,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,Si,S/D,Día,NO,Sin Restricción,Despejado,Buena,,Funciona
48869,OBSERVATORIO VIAL,2018-08-25,10:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,MENDOZA,600,25 DE mayo,,-2.746.437,-5.883.526,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,No,Si,,Día,NO,,Despejado,Buena,,Sin Semáforo
49074,OBSERVATORIO VIAL,2018-11-07,9:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA MAIPU,5300,,,-2.751.429,-5.880.672,3,1,0,3,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Frontal,3,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Barrera de Hormigón,,,,S/D,S/D,S/D,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
48891,OBSERVATORIO VIAL,2018-09-02,2:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,AV LIBERTAD,5350,UNNE,,-2.746.523,-5.878.393,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Mojada,,Cordón Divisorio,,,,Si,Si,No,Noche,SI,Sin Restricción,Lluvia,Lluvia,,Intermitente
48930,OBSERVATORIO VIAL,2018-09-17,8:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV. ARMENIA,3400,AMEGHINO,,-2.746.740,-5.880.662,1,0,0,1,0,"Caída desde vehículo, Despiste",Despiste,Si,,,1,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,S/D,S/D,S/D,,NO,Sin Restricción,Nublado,Lluvia,,Sin Semáforo
49110,OBSERVATORIO VIAL,2018-11-24,11:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,A. RAUL ALFONSIN,4100,LOS TILOS,,-2.747.411,-5.880.133,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,S/D,S/D,Día,NO,Sin Restricción,Despejado,,,Sin Semáforo
49190,OBSERVATORIO VIAL,2018-12-25,8:32:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PAYSANDU,1300,COSQUIN,,-2.749.474,-5.882.483,0,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,No,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
49127,OBSERVATORIO VIAL,2018-12-02,0:30:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV CAZADORES CORRENTINOS,3200,,,-2.751.558,-5.875.626,2,0,0,2,0,"Colisión entre vehículos, Vuelco (solo 1 participante)",Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,S/D,S/D,S/D,Noche,SI,Sin Restricción,Despejado,Buena,,Sin Semáforo
49180,OBSERVATORIO VIAL,2018-12-21,0:35:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV FERRE,2900,BOLIVIA BANDA CENTRAL SUR,,-2.747.853,-5.881.608,0,1,0,1,0,Caída desde vehículo,Caída desde vehículo,S/D,,,1,Recta,,RECTA,NO,,Hormigón,,Baches,Seca,,Cordón Divisorio,,,,Si,S/D,S/D,Noche,SI,Sin Restricción,Nublado,Buena,,Funciona
49155,OBSERVATORIO VIAL,2018-12-09,16:54:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV 3 DE ABRIL,1100,SAN JUAN,,-2.747.577,-5.883.774,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,"Despejada, Seca",,Ninguna,,,,Si,S/D,No,Día,NO,Sin Restricción,Despejado,Buena,,No Funciona
49137,OBSERVATORIO VIAL,2018-12-04,15:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV FERRE,2200,ROCA,,-2.747.730,-5.882.368,3,0,0,3,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,3,Recta,Intersección / cruce,,,,Hormigón,,Apto,"Despejada, Seca",,,,,,Si,Si,No,Día,,,,,,Funciona
49022,OBSERVATORIO VIAL,2018-10-18,13:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AVENIDA MAIPU,2700,,,-2.749.891,-5.881.492,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Angulo,2,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Cordón Divisorio,,,,Si,Si,No,Día,NO,Sin Restricción,Nublado,Buena,,Sin Semáforo
48955,OBSERVATORIO VIAL,2018-09-21,13:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ARTIGAS,1496,,,-2.747.597,-5.881.963,0,1,0,1,0,"Atropello a animal/es, Vuelco (solo 1 participante)",Atropello a animal/es,S/D,,,1,Recta,,RECTA,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,No,Si,,Día,NO,Sin Restricción,Despejado,Buena,,Sin Semáforo
48843,OBSERVATORIO VIAL,2018-08-12,10:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV FRONDIZI,5100,JULIO VERNE,,-2.750.765,-5.879.788,0,1,0,1,0,"Choque, Colisión entre vehículos",Colisión entre vehículos,S/D,,"Columna, Frontal",1,Recta,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Cordón Divisorio,,,,No,S/D,S/D,Día,SI,Sin Restricción,Despejado,Buena,,Sin Semáforo
48833,OBSERVATORIO VIAL,2018-08-11,5:06:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV 3 DE ABRIL,1601,GUTEMBERG,,-2.747.656,-5.883.149,1,0,0,1,0,"Choque, Colisión entre vehículos",Colisión entre vehículos,S/D,CON PANEL SOLAR,"Columna, Frontal",1,Curva,Intersección / cruce,,NO,,Asfalto,,Apto,Seca,,Ninguna,,,,Si,,,Amanecer,SI,Sin Restricción,Despejado,Buena,,Funciona
49126,OBSERVATORIO VIAL,2018-12-01,11:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV MAIPU,3000,GENERAL PAZ,,-2.748.787,-5.882.301,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,S/D,,Alcance,2,Recta,Intersección / cruce,,NO,,Hormigón,,Apto,Seca,,Ninguna,,,,No,No,No,Día,NO,Sin Restricción,Despejado,Buena,,Funciona
