id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
68926,2020-12-28 13:15:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
68926,2020-12-28 13:15:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
68938,2020-12-27 17:40:00,CORRIENTES,21,0,1,Automóvil,,,Privado,,,,,,,
68938,2020-12-27 17:40:00,CORRIENTES,21,1,1,Motocicleta,,,Privado,,,,,,,
71573,2020-12-27 11:10:00,CORRIENTES,21,0,1,Motocicleta,,,,,,,,,,
71573,2020-12-27 11:10:00,CORRIENTES,21,1,2,Automóvil,,,Privado,,,,,,,
72269,2020-12-26 10:40:00,CORRIENTES,21,0,1,Transporte de carga,,,,Carga,,,,,,
72269,2020-12-26 10:40:00,CORRIENTES,21,1,1,Transporte de carga,,,,Carga,,,,,,
72422,2020-12-25 11:30:00,CORRIENTES,21,0,1,Automóvil,,,,,,,,,,
72422,2020-12-21 11:25:00,CORRIENTES,21,1,0,Automóvil,,,,,,,,,,
72457,2020-12-21 11:25:00,CORRIENTES,21,0,1,Automóvil,,,Privado,,,,,,,
72457,2020-12-19 14:00:00,CORRIENTES,21,1,1,Motocicleta,,,,,,,,,,
74014,2020-12-19 14:00:00,CORRIENTES,21,0,1,Automóvil,,2020,Privado,,,,,,,
74014,2020-12-19 6:30:00,CORRIENTES,21,1,1,Motocicleta,,2020,Privado,,,,,,,
74020,2020-12-18 12:30:00,CORRIENTES,21,0,1,Automóvil,,2019,Publico,,,,,,,
74020,2020-12-18 12:30:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
