id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
49069,2018-11-05 7:15:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,Pax,,,,,,
49069,2018-11-05 7:15:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,Pax,,,,,,
49069,2018-11-05 7:15:00,CORRIENTES,21,2,1,Motocicleta,,2017,Privado,Pax,,,,,,
49074,2018-11-07 9:15:00,CORRIENTES,21,0,2,Camioneta/Utilitario,,2018,Privado,Pax,,,,,,
49074,2018-11-07 9:15:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,Pax,,,,,,
49074,2018-11-07 9:15:00,CORRIENTES,21,2,1,Transporte de pasajeros,,2014,Publico,,,,,,,
49083,2018-11-12 14:00:00,CORRIENTES,21,0,1,Motocicleta,,2012,Privado,,,,,,,
49083,2018-11-12 14:00:00,CORRIENTES,21,1,1,Maquinaria,,2015,Publico,,,,,,,
49084,2018-11-12 16:50:00,CORRIENTES,21,0,1,Automóvil,,2006,Privado,Pax,,,,,,
49084,2018-11-12 16:50:00,CORRIENTES,21,1,1,Automóvil,,2018,Publico,,,,,,,
49092,2018-11-16 7:00:00,CORRIENTES,21,0,1,Automóvil,,2012,,,,,,,,
49092,2018-11-16 7:00:00,CORRIENTES,21,1,1,Motocicleta,,2017,,,,,,,,
49098,2018-11-19 5:30:00,CORRIENTES,21,0,2,Motocicleta,,2012,Privado,,,,,,,
49098,2018-11-19 5:30:00,CORRIENTES,21,1,2,Motocicleta,,2018,Privado,,,,,,,
49110,2018-11-24 11:30:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
49110,2018-11-24 11:30:00,CORRIENTES,21,1,1,Motocicleta,,2014,Privado,,,,,,,
49114,2018-11-27 11:00:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
